Name,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
"John Bracewell (New Zealand)
            - ODI Cricket",,,,,,,,,,,,,,41,32,47,126,62,161,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Grant Bradburn (New Zealand)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,38,,19,,,,,,,,,3,,,,,,,,,,,,,,,,,,
"David Brain (Zimbabwe)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,24,61,18,14,,,,,,,,,,,,,,,,,,,,,,,,
"Eddo Brandes (Zimbabwe)
            - ODI Cricket",,,,,,,,,,,,,,,,,,21,,,,,73,83,5,5,33,30,80,74,,,,,,,,,,,,,,,,,,,,
"Mike Brearley (England)
            - ODI Cricket",,,,,,,,147,59,270,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gavin Briant (Zimbabwe)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,39,,,,,,,,,,,,,,,,,,,,,,,,,,
"Raymond Bright (Australia)
            - ODI Cricket",,,,,0,,,17,,20,5,18,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chris Broad (England)
            - ODI Cricket",,,,,,,,,,,,,,,,,,1047,314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Vaughan Brown (New Zealand)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mark Burgess (New Zealand)
            - ODI Cricket",,,,48,6,,38,,1,45,108,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mark Burmester (Zimbabwe)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,28,,,81,,,,,,,,,,,,,,,,,,,,,,,,
"Alan Butcher (England)
            - ODI Cricket",,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Roland Butcher (England)
            - ODI Cricket",,,,,,,,,,,52,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Andy Caddick (England)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,3,20,,,12,,,42,68,40,64,,,,,,,,,,,,,,,,
"Lance Cairns (New Zealand)
            - ODI Cricket",,,,,30,10,55,,83,17,113,70,35,335,92,147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chris Cairns (New Zealand)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,11,72,66,211,437,507,414,391,579,523,5,398,585,429,282,40,,,,,,,,,,,,,
"Ian Callen (Australia)
            - ODI Cricket",,,,,,,,,6,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Alistair Campbell (Zimbabwe)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,13,223,184,142,278,649,805,703,960,837,384,7,,,,,,,,,,,,,,,,
"Gegory Campbell (Australia)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"David Capel (England)
            - ODI Cricket",,,,,,,,,,,,,,,,,,110,111,70,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Philip Carlson (Australia)
            - ODI Cricket",,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bhagwat Chandrasekhar (India)
            - ODI Cricket",,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Greg Chappell (Australia)
            - ODI Cricket",,22,101,,117,232,,174,,273,346,454,338,274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ian Chappell (Australia)
            - ODI Cricket",,60,87,,169,226,,,,123,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Trevor Chappell (Australia)
            - ODI Cricket",,,,,,,,,,,32,58,,139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ewen Chatfield (New Zealand)
            - ODI Cricket",,,,,,,,,,3,10,2,2,49,6,11,18,11,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chetandra Chauhan (India)
            - ODI Cricket",,,,,,,,,25,,89,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rajesh Chauhan (India)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,7,66,,,59,,,,,,,,,,,,,,,,,,,,,,
"Wayne Clark (Australia)
            - ODI Cricket",,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sylvester Clarke (West Indies)
            - ODI Cricket",,,,,,,,,0,,20,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Brian Close (England)
            - ODI Cricket",,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"David Colley (Australia)
            - ODI Cricket",,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Richard Collinge (New Zealand)
            - ODI Cricket",,,,13,0,8,5,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jeremy Coney (New Zealand)
            - ODI Cricket",,,,,,,,,,47,173,119,102,509,192,242,410,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bevan Congdon (New Zealand)
            - ODI Cricket",,,,5,131,101,47,,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Alan Connolly (Australia)
            - ODI Cricket",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Geoffrey Cook (England)
            - ODI Cricket",,,,,,,,,,,,14,90,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nicholas Cook (England)
            - ODI Cricket",,,,,,,,,,,,,,,0,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Stephen Cook (South Africa)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,52,,15,,,,,,,,,,,,,,,,,,,,,,,,,,
"Geoffrey Cope (England)
            - ODI Cricket",,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Garry Cosier (Australia)
            - ODI Cricket",,,,,,25,,3,84,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Norman Cowans (England)
            - ODI Cricket",,,,,,,,,,,,,,5,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Christopher Cowdrey (England)
            - ODI Cricket",,,,,,,,,,,,,,,,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sir Colin Cowdrey (England)
            - ODI Cricket",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gary Crocker (Zimbabwe)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,59,39,,,,,,,,,,,,,,,,,,,,,,,,,,
"Colin Croft (West Indies)
            - ODI Cricket",,,,,,,,0,5,3,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hansie Cronje (South Africa)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,330,395,1133,157,933,771,691,587,568,,,,,,,,,,,,,,,,,,,
"Jeffrey Crowe (New Zealand)
            - ODI Cricket",,,,,,,,,,,,,,345,161,179,387,189,137,66,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Martin Crowe (New Zealand)
            - ODI Cricket",,,,,,,,,,,,,10,318,416,238,622,324,331,196,810,163,789,195,98,194,,,,,,,,,,,,,,,,,,,,,,,,
"Daryll Cullinan (South Africa)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,238,475,147,1034,810,408,517,231,,,,,,,,,,,,,,,,,,,
"Anderson Cummins (West Indies)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,38,32,115,200,74,,,,,,,,,,,,27,,,,,,,,,,,,
"Basil D'Oliveira (England)
            - ODI Cricket",,17,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Anil Dalpat (Pakistan)
            - ODI Cricket",,,,,,,,,,,,,,,6,78,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wayne Daniel (West Indies)
            - ODI Cricket",,,,,,,,,14,,,,,16,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rick Darling (Australia)
            - ODI Cricket",,,,,,,,,29,99,,162,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ian Davis (Australia)
            - ODI Cricket",,,,,11,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Simon Davis (Australia)
            - ODI Cricket",,,,,,,,,,,,,,,,,8,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Winston Davis (West Indies)
            - ODI Cricket",,,,,,,,,,,,,,7,0,11,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Guy De Alwis (Sri Lanka)
            - ODI Cricket",,,,,,,,,,,,,,198,18,,51,16,118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Phillip De Freitas (England)
            - ODI Cricket",,,,,,,,,,,,,,,,,,224,65,39,103,42,21,25,18,29,124,0,,,,,,,,,,,,,,,,,,,,,,
"Richard De Groen (New Zealand)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,2,10,,,,,,,,,,,,,,,,,,,,,,,,,
"Ashantha De Mel (Sri Lanka)
            - ODI Cricket",,,,,,,,,,,,,86,130,32,100,99,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ashley de Silva (Sri Lanka)
            - ODI Cricket",,,,,,,,,,,,,,,,,8,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,
"Somachandra De Silva (Sri Lanka)
            - ODI Cricket",,,,,,47,,,,7,,,31,172,61,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Asoka De Silva (Sri Lanka)
            - ODI Cricket",,,,,,,,,,,,,,,,,0,0,38,42,21,37,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ajit de Silva (Sri Lanka)
            - ODI Cricket",,,,,,0,,,,2,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Aravinda de Silva (Sri Lanka)
            - ODI Cricket",,,,,,,,,,,,,,,105,384,147,155,520,441,470,53,538,699,712,481,1188,1212,694,394,141,96,464,390,,,,,,,,,,,,,,,,
"Fanie De Villiers (South Africa)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,0,20,68,20,55,7,,,,,,,,,,,,,,,,,,,,,,
"Michael Denness (England)
            - ODI Cricket",,,,66,73,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kapil Dev (India)
            - ODI Cricket",,,,,,,,,18,53,112,102,230,527,101,263,517,448,331,238,192,135,318,141,57,,,,,,,,,,,,,,,,,,,,,,,,,
"Roy Dias (Sri Lanka)
            - ODI Cricket",,,,,,,,,,75,,,479,157,115,587,33,127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Graham Dilley (England)
            - ODI Cricket",,,,,,,,,,1,0,3,1,90,1,,8,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Anthony Dodemaide (Australia)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,84,,,,0,40,,,,,,,,,,,,,,,,,,,,,,,,,,
"Allan Donald (South Africa)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,0,8,12,9,5,0,21,19,10,1,4,6,0,,,,,,,,,,,,,,,,
"Dilip Doshi (India)
            - ODI Cricket",,,,,,,,,,,2,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Simon Doull (New Zealand)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,2,,44,17,19,54,30,6,0,,,,,,,,,,,,,,,,,,,
"Paul Downton (England)
            - ODI Cricket",,,,,,,,0,,,,,,,71,94,28,19,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jeff Dujon (West Indies)
            - ODI Cricket",,,,,,,,,,,,0,134,190,262,199,164,234,254,295,70,143,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gregory Dyer (Australia)
            - ODI Cricket",,,,,,,,,,,,,,,,,51,50,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Geoffrey Dymock (Australia)
            - ODI Cricket",,,,,0,,,2,,15,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"John Dyson (Australia)
            - ODI Cricket",,,,,,,,,,,218,37,183,317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bruce Edgar (New Zealand)
            - ODI Cricket",,,,,,,,,31,113,154,390,93,552,64,,417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Phillippe Edmonds (England)
            - ODI Cricket",,,,,,,,5,4,22,,,,,0,69,0,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"John Edrich (England)
            - ODI Cricket",,82,,,133,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
