Name,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
"Hemantha Wickramaratne (Sri Lanka)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,
"Henry Williams (South Africa)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,,,,,,,,,,,,,,,,,,,
"Laurie Williams (West Indies)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,6,14,1,,41,62,,,,,,,,,,,,,,,,,,
"Greig Williamson (Scotland)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,
"Charl Willoughby (South Africa)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,,,,,,,,,,,,,
"Jeffrey Wilson (New Zealand)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,23,,,,,,,,,,,,,,
"Warren Wisneski (New Zealand)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,
"Mandy Yachad (South Africa)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Yasir Arafat (Pakistan)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,4,,,,0,38,,0,26,,,,,,,,,,
"Bradley Young (Australia)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,0,,,,,,,,,,,,,,,,,,,,
"Yunus Badat (East Africa)
            - ODI Cricket",,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Yuvraj Singh (India)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260,238,659,600,841,839,849,1287,893,783,349,453,2,276,,,,372,,
"Zafar Iqbal (Pakistan)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,
"Zahid Ahmed (Pakistan)
            - ODI Cricket",,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Zahid Razzak (Bangladesh)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,6,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Zakir Hasan (Bangladesh)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
"Andris Zesers (Australia)
            - ODI Cricket",,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bas Zuiderent (Netherlands)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,91,,,,,,7,35,,,161,318,41,139,288,17,,,,,,,,
"Zulfiqar Ali (East Africa)
            - ODI Cricket",,,,,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Humayun Farhat (Pakistan)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,
"Dinesh Mongia (India)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,740,237,12,33,123,34,,,,,,,,,,,,
"Mohammed Sharif (Bangladesh)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,11,,,,,6,,,,,,,,,,,,
"Dion Ebrahim (Zimbabwe)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,547,159,219,490,28,,,,,,,,,,,,,,
"Akalanka Ganegarma (Sri Lanka)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,7,,,,,,,,,,,,,
"Andre Adams (New Zealand)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,187,128,9,67,9,1,,,,,,,,,,,,
"Mohammad Ashraful (Bangladesh)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,125,155,332,395,454,509,676,448,220,37,,71,,,,,,
"Kashif Raza (Pakistan)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,
"Kyle Mills (New Zealand)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,52,45,53,51,33,34,138,156,226,28,26,119,29,30,,,,
"Leon Garrick (West Indies)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,,,,,,,,,,,,,,,,,,
"Justin Ontong (South Africa)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,42,,,11,,,69,,,,17,,,,,,,
"Andre Nel (South Africa)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,2,0,7,34,58,23,,,,,,,,,,,
"Ryan Sidebottom (England)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,25,24,82,0,,,,,,,,,
"Paul Collingwood (England)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189,396,411,363,432,520,1064,398,705,500,114,,,,,,,,
"Owais Shah (England)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,132,47,,,11,408,586,546,,,,,,,,,,
"Tatenda Taibu (Zimbabwe)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,107,386,568,327,,220,360,248,574,485,96,,,,,,,
"Hamilton Masakadza (Zimbabwe)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,90,172,392,249,324,1087,323,341,12,423,532,469,280,313,581,
"David Obuya (Kenya)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109,34,84,,,164,434,69,257,91,83,30,,,,,,,
"Collins Obuya (Kenya)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,64,98,,,177,277,,477,340,304,39,118,66,,,,,
"Brijal Patel (Kenya)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,185,87,41,,41,,,,,,,,,,,,,
"Taufeeq Umar (Pakistan)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,152,246,18,3,,,,,,57,,,,,,,,
"Michael Vandort (Sri Lanka)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,,,,,,,,,,,,,
"Douglas Hondo (Zimbabwe)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,32,24,32,34,,,,,,,,,,,,,,
"Claude Henderson (South Africa)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
"James Foster (England)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,30,,,,,,,,,,,,,,,,,
"Robert Kirtley (England)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,,,,,,,,,,,,,,,
"Jeremy Snape (England)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,94,,,,,,,,,,,,,,,,,
"Deep Dasgupta (India)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,,,,,,,,,,,,,,,,,,
"Sean Ervine (Zimbabwe)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,74,229,320,,,,,,,,,,,,,,,
"Charl Langeveldt (South Africa)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,0,2,1,1,34,0,6,26,,,,,,,,,
"Charitha Fernando (Sri Lanka)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,7,18,,,,,,,,,,,,,,,,
"Prabath Nissanka (Sri Lanka)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,18,33,,,,,,,,,,,,,,,,
"Naved Latif (Pakistan)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143,112,7,,,,,,,,,,,,,,,,
"Mashrafe Mortaza (Bangladesh)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,52,70,76,295,233,292,8,131,0,43,20,106,96,98,64,124,24
"Shane Bond (New Zealand)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,36,,14,26,38,,39,53,,,,,,,,,
"Fahim Muntasir (Bangladesh)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,,,,,,,,,,,,,,,,,
"Tushar Imran (Bangladesh)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,271,126,,120,24,27,,,,,,,,,,,,
"Sanjay Bangar (India)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159,18,3,,,,,,,,,,,,,,,
"Tinu Yohannan (India)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,
"Jermaine Lawson (West Indies)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,4,11,,,,,,,,,,,,,,
"Ryan Hinds (West Indies)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,62,,8,,,,,,,,,,,,,,,
"Darryl Brown (West Indies)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,,,,,,,,,,,,,,,,,
"Brad Williams (Australia)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,14,0,,,,,,,,,,,,,,,
"Ryan Campbell (Australia)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,,,,,,,,,,,,,,,,,
"Brendon McCullum (New Zealand)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,270,244,409,194,799,618,750,324,470,416,420,183,764,119,,,
"Ajay Ratra (India)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,,,,,,,,,,,,,,,,,
"Tareq Aziz (Bangladesh)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,4,15,,,,,,,,,,,,,,,
"Ian Butler (New Zealand)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,0,,,,,65,13,,,,,,,,,
"Runako Morton (West Indies)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,180,685,352,94,182,7,,,,,,,,,
"Ashwell Prince (South Africa)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,92,604,160,148,,,,,,,,,,,,
"Graeme Smith (South Africa)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,743,600,652,984,561,1079,492,502,328,419,338,291,,,,,,
"Nathan Hauritz (Australia)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,22,,,,,,161,138,2,,,,,,,,
"Shane Watson (Australia)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,236,52,28,138,280,267,262,1013,771,1139,377,693,165,336,,,,
"John Kent (South Africa)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
"Robert Hart (New Zealand)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
"Paul Hitchcock (New Zealand)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,19,,,,,11,,,,,,,,,,,
"Daren Powell (West Indies)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,14,0,60,39,5,,,,,,,,,,
"Talha Jubair (Bangladesh)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,,,,,,,,,,,,,,,,
"Ehsanul Haque (Bangladesh)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,28,,,,,,,,,,,,,,,,
"Hannan Sarkar (Bangladesh)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,242,113,,,,,,,,,,,,,,,
"Simon Jones (England)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,
"Chamila Lakshitha (Sri Lanka)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,,,,,,,,,,,,,,,,
"Jehan Mubarak (Sri Lanka)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,35,,,247,171,145,65,,,,8,,,,,,
"Alok Kapali (Bangladesh)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,228,484,102,4,146,,206,,,65,,,,,,,,
"Tapash Baisya (Bangladesh)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,84,89,72,0,18,,,,,,,,,,,,
"Hasantha Fernando (Sri Lanka)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,3,,,,,,,,,,,,,
"Pulasthi Gunaratne (Sri Lanka)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,15,,,,,,,,,,,,,,,,
"Parthiv Patel (India)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,66,,,,,,109,491,4,,,,,,,
"Robert Key (England)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,43,,,,,,,,,,,,,,,
"Stephen Harmison (England)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,7,24,22,12,,6,18,,,,,,,,,,
"Jacob-Jan Esmeijer (Netherlands)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3,,,,,,,,,,,,,,,,
"Victor Grandia (Netherlands)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
"Adeel Raja (Netherlands)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2,,,,10,0,,9,0,,,,,,,,
"Edgar Schiferli (Netherlands)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,75,,,,6,5,52,,,,8,,,,,,
"Reiout Scholte (Netherlands)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,16,,,,,,,,,,,,,,,,
"Daan van Bunge (Netherlands)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,135,,,172,82,41,130,,,,69,,,,,,
"Lucas van Troost (Netherlands)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,96,,,104,68,,,,,,,,,,,,
"Ian Blackwell (England)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185,70,36,53,59,,,,,,,,,,,,,
"Mazharul Haque (Bangladesh)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,
"Jan Kloppenburg (Netherlands)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,158,,,,,,,,,,,,,,,,
"Hendrik Mol (Netherlands)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,38,,,,2,27,,,,,,,,,,,
"Robin Peterson (South Africa)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,13,62,0,44,12,,,6,78,81,233,11,,,,,
"Martin van Jaarsveld (South Africa)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,82,0,,,,,,,,,,,,,,,
"Rafiqul Islam (Bangladesh)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
"Anwar Hossain Monir (Bangladesh)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
"Jai Yadav (India)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,81,,,,,,,,,,,,,,
"Blessing Mahwire (Zimbabwe)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,17,89,,,,,,,,,,,,,
"Kamran Akmal (Pakistan)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141,26,0,569,340,293,342,509,357,347,6,238,,,,68,,
"Lakshmipathy Balaji (India)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,95,18,,,,7,,,,,,,,,,
"Barney Rogers (Zimbabwe)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,34,131,300,,,,,,,,,,,,,,
"Stuart Matsikenyeri (Zimbabwe)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,101,394,162,388,289,141,701,19,,9,,,19,,,,
"Richard Sims (Zimbabwe)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,24,,,,,,,,,,,,,,,,
"Waddington Mwayenga (Zimbabwe)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,,,,,,,,,,,,,,,
"Anwar Hossain (Bangladesh)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,,,,,,,,,,,,,,,,,
"Monde Zondeki (South Africa)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,,0,0,,0,,,,,,,,,,,
"Gareth Batty (England)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,1,,2,,,24,,,,,,,,,,
"James Anderson (England)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,21,13,11,33,21,20,21,12,40,5,33,22,14,,,,
"Michael Clarke (Australia)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,327,615,954,729,981,471,868,777,900,656,303,181,219,,,,
"Riaan Walters (Namibia)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
"Stephan Swanepoel (Namibia)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,,,,,,,,,,,,,,,,
"Andries Burger (Namibia)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199,,,,,,,,,,,,,,,,
"Daniel Keulder (Namibia)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132,,,,,,,,,,,,,,,,
"Bryan Murgatroyd (Namibia)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,,,,,,,,,,,,,,,,
"Morne Karg (Namibia)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,,,,,,,,,,,,,,,,
"Deon Kotze (Namibia)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,,,,,,,,,,,,,,,,
"Louis Burger (Namibia)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,
"Gerrie Synman (Namibia)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,
"Jan Louw (Namibia)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
"Bjorn Kotze (Namibia)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,,,,,,,
"Ashish Bagai (Canada)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,,,221,496,181,243,539,225,,3,,,,,,
"Ian Billcliff (Canada)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147,,,63,245,26,51,,,,,,,,,,
"Desmond Chumney (Canada)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,,,196,133,,,,,,,,,,,,
"Austin Codrington (Canada)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,14,5,,,,,,,,,,,,
"John Davison (Canada)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226,,,97,370,,73,,33,,,,,,,,
"Nicholas De Groot (Canada)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,,,,,,,,,,,,,,,,
"Joseph Harris (Canada)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,,,,,,,,,,,,,,,,
"Davis Joseph (Canada)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,
"Ishwar Maraj (Canada)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,,,,,,,,,,,,,,,,
"Fazil Sattaur (Canada)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,
"Sanjayan Thuraisingam (Canada)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,13,,7,,,,,,,,,,,
"Jeroen Smits (Netherlands)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,,,16,42,20,33,,,,,,,,,,
"Nick Statham (Netherlands)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,0,,,,,,,,,,
"Rudolph van Vuuren (Namibia)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,,,,,,,,,,,,,,,
"Melt van Schoor (Namibia)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,,,,,,,,,,,,,,,,
"Sarel Burger (Namibia)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,
"Barry Seebaran (Canada)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,
"Nicholas Ifill (Canada)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,0,,,,,,,,,,,,,
"Burton van Rooi (Namibia)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,,,,,,,,,,,,,,,
"Ashish Patel (Canada)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,
"Abdool Samad (Canada)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,165,315,214,32,,,,,,,,,,
"Umar Gul (Pakistan)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,32,23,29,108,50,47,93,38,29,0,6,,,
"Mohammad Hafeez (Pakistan)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,419,,124,255,76,,,370,1075,476,1301,360,782,166,555,194,208
"Naved-ul-Hasan (Pakistan)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,40,157,112,37,,89,76,,,,,,,,,
"Alfred Luseno (Kenya)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,17,0,,1,16,,,,,,,,,
"Kaushal Lokuarachchi (Sri Lanka)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,40,,108,11,,,,,,,,,,,,
"Devon Smith (West Indies)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,93,,,273,110,169,,333,,45,,,,,,
"Aavishkar Salvi (India)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,
"Gautam Gambhir (India)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113,,181,115,634,1119,848,670,720,685,153,,,,,,
"Amit Mishra (India)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,0,5,,9,10,4,15,,,
"Jacques Rudolph (South Africa)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,411,124,139,,,,,,,,,,,,,
"Abhijit Kale (India)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,
"Mohammad Salim (Bangladesh)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,
"David Bernard (West Indies)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,116,18,,,,,,,,,
"Carlton Baugh (West Indies)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,3,,118,,37,,,195,64,,,,,,,
"Tino Best (West Indies)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,40,0,,,8,,,15,9,0,,,,,
"Omari Banks (West Indies)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,,39,,,,,,,,,,,,,,
"Dharshana Gamage (Sri Lanka)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,
"Yasir Hameed (Pakistan)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,898,773,134,112,111,,,,,,,,,,,,
"Anthony McGrath (England)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143,23,,,,,,,,,,,,,,,
"Faisal Athar (Pakistan)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,
"Ryan Hurley (West Indies)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,13,,,,,,,,,,,,,,,
"Richard Johnson (England)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,
"Jerome Taylor (West Indies)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,25,44,84,45,6,,,,11,40,21,2,,
