,Name_of_player,Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
1276,Blessing Mahwire ,Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,28.0,117.0,,,,,,,,,,,,,
1277,Kamran Akmal ,Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141.0,167.0,167.0,736.0,1076.0,1369.0,1711.0,2220.0,2577.0,2924.0,2930.0,3168.0,,,,3236.0,,
1278,Lakshmipathy Balaji ,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,95.0,113.0,,,,120.0,,,,,,,,,,
1279,Barney Rogers ,Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,47.0,178.0,478.0,,,,,,,,,,,,,,
1280,Stuart Matsikenyeri ,Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,102.0,496.0,658.0,1046.0,1335.0,1476.0,2177.0,2196.0,,2205.0,,,2224.0,,,,
1281,Richard Sims ,Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,31.0,,,,,,,,,,,,,,,,
1282,Waddington Mwayenga ,Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,
1283,Anwar Hossain ,Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.0,,,,,,,,,,,,,,,,,
1284,Monde Zondeki ,South Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,4.0,,4.0,4.0,,4.0,,,,,,,,,,,
1285,Gareth Batty ,England,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,4.0,,6.0,,,30.0,,,,,,,,,,
1286,James Anderson ,England,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,28.0,41.0,52.0,85.0,106.0,126.0,147.0,159.0,199.0,204.0,237.0,259.0,273.0,,,,
1287,Michael Clarke ,Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,327.0,942.0,1896.0,2625.0,3606.0,4077.0,4945.0,5722.0,6622.0,7278.0,7581.0,7762.0,7981.0,,,,
1288,Riaan Walters ,Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
1289,Stephan Swanepoel ,Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.0,,,,,,,,,,,,,,,,
1290,Andries Burger ,Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199.0,,,,,,,,,,,,,,,,
1291,Daniel Keulder ,Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.0,,,,,,,,,,,,,,,,
1292,Bryan Murgatroyd ,Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.0,,,,,,,,,,,,,,,,
1293,Morne Karg ,Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.0,,,,,,,,,,,,,,,,
1294,Deon Kotze ,Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.0,,,,,,,,,,,,,,,,
1295,Louis Burger ,Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,
1296,Gerrie Synman ,Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,
1297,Jan Louw ,Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
1298,Bjorn Kotze ,Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.0,,,,,,,,,,,,,,,,
1299,Ashish Bagai ,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.0,,,277.0,773.0,954.0,1197.0,1736.0,1961.0,,1964.0,,,,,,
1300,Ian Billcliff ,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.0,,,210.0,455.0,481.0,532.0,,,,,,,,,,
1301,Desmond Chumney ,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.0,,,264.0,397.0,,,,,,,,,,,,
1302,Austin Codrington ,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.0,,,42.0,47.0,,,,,,,,,,,,
1303,John Davison ,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226.0,,,323.0,693.0,,766.0,,799.0,,,,,,,,
1304,Nicholas De Groot ,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.0,,,,,,,,,,,,,,,,
1305,Joseph Harris ,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.0,,,,,,,,,,,,,,,,
1306,Davis Joseph ,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,,,,,,,,,,,,,,,,
1307,Ishwar Maraj ,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.0,,,,,,,,,,,,,,,,
1308,Fazil Sattaur ,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,
1309,Sanjayan Thuraisingam ,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,,,38.0,,45.0,,,,,,,,,,,
1310,Jeroen Smits ,Netherlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.0,,,74.0,116.0,136.0,169.0,,,,,,,,,,
1311,Nick Statham ,Netherlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,7.0,,,,,,,,,,
1312,Rudolph van Vuuren ,Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0,,,,,,,,,,,,,,,,
1313,Melt van Schoor ,Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.0,,,,,,,,,,,,,,,,
1314,Sarel Burger ,Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,
1315,Barry Seebaran ,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,
1316,Nicholas Ifill ,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,,,16.0,,,,,,,,,,,,,
1317,Burton van Rooi ,Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0,,,,,,,,,,,,,,,,
1318,Ashish Patel ,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,
1319,Abdool Samad ,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,177.0,492.0,706.0,738.0,,,,,,,,,,
1320,Umar Gul ,Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,34.0,57.0,86.0,194.0,244.0,291.0,384.0,422.0,451.0,451.0,457.0,,,
1321,Mohammad Hafeez ,Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,419.0,,543.0,798.0,874.0,,,1244.0,2319.0,2795.0,4096.0,4456.0,5238.0,5404.0,5959.0,6153.0,6361.0
1322,Naved-ul-Hasan ,Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,53.0,210.0,322.0,359.0,,448.0,524.0,,,,,,,,,
1323,Alfred Luseno ,Kenya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,17.0,17.0,,18.0,34.0,,,,,,,,,
1324,Kaushal Lokuarachchi ,Sri Lanka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.0,91.0,,199.0,210.0,,,,,,,,,,,,
1325,Devon Smith ,West Indies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.0,129.0,,,402.0,512.0,681.0,,1014.0,,1059.0,,,,,,
1326,Aavishkar Salvi ,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,
1327,Gautam Gambhir ,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.0,,294.0,409.0,1043.0,2162.0,3010.0,3680.0,4400.0,5085.0,5238.0,,,,,,
1328,Amit Mishra ,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,0.0,5.0,,14.0,24.0,28.0,43.0,,,
1329,Jacques Rudolph ,South Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500.0,911.0,1035.0,1174.0,,,,,,,,,,,,,
1330,Abhijit Kale ,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,
1331,Mohammad Salim ,Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,
1332,David Bernard ,West Indies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,123.0,141.0,,,,,,,,,
1333,Carlton Baugh ,West Indies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.0,68.0,,186.0,,223.0,,,418.0,482.0,,,,,,,
1334,Tino Best ,West Indies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,44.0,44.0,,,52.0,,,67.0,76.0,76.0,,,,,
1335,Omari Banks ,West Indies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.0,,83.0,,,,,,,,,,,,,,
1336,Dharshana Gamage ,Sri Lanka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,
1337,Yasir Hameed ,Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,898.0,1671.0,1805.0,1917.0,2028.0,,,,,,,,,,,,
1338,Anthony McGrath ,England,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.0,166.0,,,,,,,,,,,,,,,
1339,Faisal Athar ,Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,
1340,Ryan Hurley ,West Indies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,13.0,,,,,,,,,,,,,,,
1341,Richard Johnson ,England,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,,,,,,,,,,,,,,,,
1342,Jerome Taylor ,West Indies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,25.0,69.0,153.0,198.0,204.0,,,,215.0,255.0,276.0,278.0,,
1343,Rikki Clarke ,England,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.0,99.0,,144.0,,,,,,,,,,,,,
1344,Jamie Troughton ,England,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.0,,,,,,,,,,,,,,,,
1345,Fidel Edwards ,West Indies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,4.0,4.0,18.0,20.0,50.0,73.0,,,,,,,,,,
1346,Thilan Thushara ,Sri Lanka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250.0,357.0,392.0,,,,,,,,,
1347,Kabir Ali ,England,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,91.0,93.0,,,,,,,,,,,,,
1348,Charles Coventry ,Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,137.0,197.0,,,627.0,801.0,819.0,,,,829.0,,,,
1349,Morne van Wyk ,South Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,,,,195.0,,,,331.0,,,,425.0,,,,
1350,Rajin Saleh ,Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,269.0,585.0,710.0,1005.0,,,,,,,,,,,,,
1351,Salman Butt ,Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,252.0,817.0,962.0,1324.0,2185.0,2543.0,2725.0,,,,,,,,,
1352,Junaid Zia ,Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,
1353,Gavin Ewing ,Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,97.0,,,,,,,,,,,,,,
1354,Enamul Haque ,Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,12.0,,,,,,,,,,
1355,Vusi Sibanda ,Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.0,270.0,300.0,800.0,1345.0,1504.0,1677.0,1796.0,2274.0,,2706.0,2812.0,2898.0,2994.0,,,
1356,Jamaluddin Ahmed ,Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,,,,,,,,,,,,,,,,
1357,Manjural Islam Rana ,Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.0,247.0,308.0,331.0,,,,,,,,,,,,,
1358,Nafis Iqbal ,Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,123.0,309.0,,,,,,,,,,,,,,
1359,Moniruzzaman ,Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
1360,Dinusha ,Sri Lanka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
1361,Nuwan Kulasekara ,Sri Lanka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,5.0,,19.0,34.0,190.0,393.0,475.0,645.0,880.0,1064.0,1127.0,1258.0,1289.0,1327.0,,
1362,Andrew Strauss ,England,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,658.0,1371.0,1963.0,2239.0,,2886.0,3692.0,4205.0,,,,,,,,
1363,Ravi Rampaul ,West Indies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,35.0,,,85.0,88.0,111.0,165.0,295.0,339.0,342.0,359.0,362.0,,,,
1364,Michael Mason ,New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,13.0,,17.0,22.0,22.0,,24.0,,,,,,,,,
1365,Matthew Walker ,New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,
1366,Richard Jones ,New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168.0,,,,,,,,,,,,,,,,
1367,Craig Cumming ,New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.0,138.0,161.0,,,,161.0,,,,,,,,,,
1368,Alester Maregwede ,Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,95.0,124.0,,,,,,,,,,,,,,
1369,Tama Canning ,New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.0,,52.0,,,,,,,,,,,,,,
1370,Irfan Pathan ,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230.0,613.0,1006.0,1137.0,1360.0,1368.0,,1372.0,1544.0,,,,,,,
1371,Dwayne Smith ,West Indies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,262.0,474.0,691.0,791.0,,,925.0,,1102.0,,1338.0,1560.0,,,,
1372,Dave Mohammed ,West Indies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,
1373,Rohan Gavaskar ,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151.0,,,,,,,,,,,,,,,
1374,Michael Hussey ,Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,604.0,1388.0,1835.0,2457.0,3623.0,4448.0,4862.0,5442.0,,,,,,,
1375,Michael Papps ,New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204.0,207.0,,,,,,,,,,,,,,
1376,Albie Morkel ,South Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,63.0,,236.0,327.0,619.0,679.0,,782.0,,,,,,,
1377,W Jayantha ,Sri Lanka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400.0,,,,,,,,,,,,,,,
1378,Ramesh Powar ,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,,107.0,163.0,,,,,,,,,,,,
1379,Geraint Jones ,England,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,264.0,565.0,815.0,,,,,,,,862.0,,,,,
1380,Dwayne Bravo ,West Indies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,313.0,740.0,1088.0,1291.0,1511.0,1715.0,1910.0,2165.0,2553.0,2968.0,,,,,
1381,Elton Chigumbura ,Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,308.0,414.0,903.0,1293.0,1463.0,2093.0,2461.0,2743.0,2837.0,2998.0,3390.0,4162.0,4229.0,,4340.0,
1382,Tinashe Panyangara ,Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.0,90.0,,,,,,94.0,,98.0,129.0,227.0,239.0,,,
1383,Brendan Taylor ,Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,402.0,684.0,1491.0,1790.0,1929.0,2519.0,3242.0,3985.0,4112.0,4414.0,4825.0,5258.0,,,6156.0,
1384,Prosper Utseya ,Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.0,149.0,311.0,376.0,442.0,708.0,984.0,1160.0,1192.0,1319.0,1385.0,1406.0,,,,
1385,Farveez Maharoof ,Sri Lanka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.0,222.0,471.0,751.0,775.0,973.0,984.0,,1042.0,,,,1113.0,,,
1386,Thilina Kandamby ,Sri Lanka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,,,,63.0,749.0,814.0,870.0,,,870.0,,,,,
1387,Tawanda Mupariwa ,Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.0,28.0,149.0,149.0,153.0,165.0,,,,,,184.0,185.0,,,
1388,Ian Bradshaw ,West Indies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.0,153.0,245.0,287.0,,,,,,,,,,,,
1389,Faisal Hossain ,Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0,,,,,,43.0,,,,,,,,,
1390,Edward Rainsford ,Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,,37.0,38.0,38.0,40.0,55.0,,,,,,,,,
1391,Gareth Hopkins ,New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,9.0,41.0,56.0,236.0,,,,,,,,,
1392,Lasith Malinga ,Sri Lanka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,7.0,44.0,73.0,92.0,124.0,210.0,302.0,371.0,424.0,442.0,475.0,,496.0,506.0,550.0
1393,Sajid Mahmood ,England,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,83.0,85.0,,85.0,,,,,,,,,,
1394,Abdur Razzak ,Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.0,39.0,125.0,242.0,467.0,487.0,563.0,650.0,663.0,758.0,779.0,,,,,
1395,Timothy Smart ,Hong Kong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.0,,,,,,,,,,,,,,,
1396,Manoj Cheruparambil ,Hong Kong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,,,,,,,,,,,,,,,
1397,Alexander French ,Hong Kong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,,,,,,,,,,,,,,,
1398,Tabarak Dar ,Hong Kong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.0,,,,101.0,,,,,,,,,,,
1399,John Lamsam ,Hong Kong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,24.0,,,,,,,,,,,
1400,Rahul Sharma ,Hong Kong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,
1401,Ilyas Gul ,Hong Kong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,,,,,,,,,,,,,,,
1402,Najeeb Amar ,Hong Kong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,38.0,,,,,,,,,,,
1403,S Lama ,Hong Kong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,,,,,,,,,,,,,,,
1404,Afzaal Haider ,Hong Kong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,,,,22.0,,,,,,,,,,,
1405,Khalid Khan ,Hong Kong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,
1406,Asim Saeed ,United Arab Emirates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,
1407,Arshad Ali ,United Arab Emirates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,54.0,,,,,,,,,,,
1408,Fahad Usman ,United Arab Emirates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,
1409,Naeemuddin Aslam ,United Arab Emirates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,
1410,Khurram Khan ,United Arab Emirates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,,,,93.0,,,,,,427.0,582.0,,,,
1411,Syed Maqsood ,United Arab Emirates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,,,,,,,,,,,,,,,
1412,Asghar Ali ,United Arab Emirates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,,,,,,,,,,,,,,
1413,Mohammad Tauqir ,United Arab Emirates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.0,,,,87.0,,,,,,87.0,95.0,,,,
1414,Abdul Rehman ,United Arab Emirates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
1415,Ali Asad ,United Arab Emirates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,,,,,,,,,,,,,,,
1416,Rizwan Latif ,United Arab Emirates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
1417,Sameer Zia ,United Arab Emirates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,
1418,Ramveer Rai ,United Arab Emirates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.0,,,,,,,,,,,,,,,
1419,Nasir Hameed ,Hong Kong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
1420,Nadeem Ahmed ,Hong Kong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,3.0,,,,,,17.0,17.0,41.0,44.0,67.0,
1421,Ian Bell ,England,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163.0,226.0,880.0,1960.0,2483.0,,2622.0,3234.0,3783.0,4428.0,4907.0,5416.0,,,,
1422,Jean-Paul Duminy ,South Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,,144.0,342.0,818.0,1293.0,1726.0,2289.0,2601.0,3260.0,3571.0,3937.0,4381.0,4668.0,5016.0,5055.0
1423,Alexander Wharf ,England,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,19.0,,,,,,,,,,,,,,
1424,Dinesh Karthik ,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,43.0,330.0,,553.0,1008.0,,,1263.0,1313.0,,,1496.0,1663.0,1738.0
1425,Rohan Alexander ,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.0,,,,,,,,,,,,,,,
1426,Mark Johnson ,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,
1427,Leon Romero ,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
1428,Steve Massiah ,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,,,,,,,,,,,,,,,
1429,Richard Staple ,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,
1430,Jignesh Desai ,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,,,,,,,,,,,,,,,
1431,Aijaz Ali ,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,
1432,Rashid Zia ,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,
1433,Charles Reid ,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,
1434,Howard Johnson ,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,
1435,Maurice Ouma ,Kenya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.0,,215.0,601.0,728.0,1113.0,1269.0,1291.0,,1496.0,1501.0,,,,,
1436,Rageg Aga ,Kenya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,13.0,49.0,150.0,,,,,
1437,Aftab Ahmed ,Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.0,442.0,1226.0,1745.0,1874.0,,1954.0,,,,,,,,,
1438,Nazmul Hossain ,Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,30.0,30.0,,30.0,35.0,35.0,35.0,35.0,,,,,,,
1439,Donovan Blake ,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
1440,Nasir Javed ,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,
1441,Darren Sammy ,West Indies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,18.0,154.0,351.0,508.0,720.0,1063.0,1461.0,1587.0,1871.0,,,,
1442,Malhar Patel ,Kenya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,40.0,,,,,,,,,,,,,
1443,Bazid Khan ,Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,78.0,,,131.0,,,,,,,,,,,
1444,Iftikhar Anjum ,Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,41.0,85.0,169.0,207.0,213.0,234.0,,,,,,,,,
