,Name_of_player,Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
52,Kim Barnett ,England,,,,,,,,,,,,,,,,,,,84.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Graeme Beard ,Australia,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Bishen Bedi ,India,,,,,0.0,6.0,10.0,,12.0,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Kenneth Benjamin ,West Indies,,,,,,,,,,,,,,,,,,,,,,,22.0,51.0,54.0,54.0,65.0,,,,,,,,,,,,,,,,,,,,,,,
56,Winston Benjamin ,West Indies,,,,,,,,,,,,,,,,,10.0,73.0,85.0,118.0,,128.0,190.0,228.0,245.0,298.0,,,,,,,,,,,,,,,,,,,,,,,,
57,Murray Bennett ,Australia,,,,,,,,,,,,,,,0.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Mark Benson ,England,,,,,,,,,,,,,,,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Carlisle Best ,West Indies,,,,,,,,,,,,,,,,,10.0,33.0,82.0,203.0,400.0,405.0,473.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Martin Bicknell ,England,,,,,,,,,,,,,,,,,,,,,64.0,96.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Roger Binny ,India,,,,,,,,,,,49.0,192.0,233.0,406.0,521.0,552.0,629.0,629.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Ian Bishop ,West Indies,,,,,,,,,,,,,,,,,,,2.0,49.0,73.0,148.0,182.0,223.0,,258.0,339.0,405.0,,,,,,,,,,,,,,,,,,,,,,
63,Tony Blain ,New Zealand,,,,,,,,,,,,,,,,,68.0,,246.0,,,,,360.0,442.0,,,,,,,,,,,,,,,,,,,,,,,,,
64,Richard Blakey ,England,,,,,,,,,,,,,,,,,,,,,,,25.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Stephen Boock ,New Zealand,,,,,,,,,0.0,,2.0,,,,10.0,,10.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,David Boon ,Australia,,,,,,,,,,,,,,,39.0,303.0,1071.0,1727.0,2309.0,2636.0,3053.0,3379.0,4177.0,4594.0,5667.0,5964.0,,,,,,,,,,,,,,,,,,,,,,,,
67,Allan Border ,Australia,,,,,,,,,,200.0,419.0,873.0,1219.0,1647.0,2085.0,2915.0,3510.0,4152.0,4364.0,4897.0,5437.0,5766.0,5978.0,6199.0,6524.0,,,,,,,,,,,,,,,,,,,,,,,,,
