Name_of_player,Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Subroto Banerjee ,India,,,,,,,,,,,,,,,,,,,,,,13.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eldine Baptiste ,West Indies,,,,,,,,,,,,,,5.0,106.0,8.0,,14.0,51.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wasim Bari ,Pakistan,,,,21.0,0.0,3.0,2.0,2.0,31.0,26.0,0.0,4.0,18.0,81.0,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Graham Barlow ,England,,,,,,,80.0,69.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kim Barnett ,England,,,,,,,,,,,,,,,,,,,84.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Graeme Beard ,Australia,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bishen Bedi ,India,,,,,0.0,6.0,4.0,,2.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenneth Benjamin ,West Indies,,,,,,,,,,,,,,,,,,,,,,,22.0,29.0,3.0,0.0,11.0,,,,,,,,,,,,,,,,,,,,,,,
Winston Benjamin ,West Indies,,,,,,,,,,,,,,,,,10.0,63.0,12.0,33.0,,10.0,62.0,38.0,17.0,53.0,,,,,,,,,,,,,,,,,,,,,,,,
Murray Bennett ,Australia,,,,,,,,,,,,,,,0.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mark Benson ,England,,,,,,,,,,,,,,,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carlisle Best ,West Indies,,,,,,,,,,,,,,,,,10.0,23.0,49.0,121.0,197.0,5.0,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martin Bicknell ,England,,,,,,,,,,,,,,,,,,,,,64.0,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roger Binny ,India,,,,,,,,,,,49.0,143.0,41.0,173.0,115.0,31.0,77.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ian Bishop ,West Indies,,,,,,,,,,,,,,,,,,,2.0,47.0,24.0,75.0,34.0,41.0,,35.0,81.0,66.0,,,,,,,,,,,,,,,,,,,,,,
Tony Blain ,New Zealand,,,,,,,,,,,,,,,,,68.0,,178.0,,,,,114.0,82.0,,,,,,,,,,,,,,,,,,,,,,,,,
Richard Blakey ,England,,,,,,,,,,,,,,,,,,,,,,,25.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Stephen Boock ,New Zealand,,,,,,,,,0.0,,2.0,,,,8.0,,0.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Boon ,Australia,,,,,,,,,,,,,,,39.0,264.0,768.0,656.0,582.0,327.0,417.0,326.0,798.0,417.0,1073.0,297.0,,,,,,,,,,,,,,,,,,,,,,,,
Allan Border ,Australia,,,,,,,,,,200.0,219.0,454.0,346.0,428.0,438.0,830.0,595.0,642.0,212.0,533.0,540.0,329.0,212.0,221.0,325.0,,,,,,,,,,,,,,,,,,,,,,,,,
Tertius Bosch ,South Africa,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sir Ian Botham ,England,,,,,,,21.0,32.0,80.0,145.0,156.0,159.0,188.0,275.0,91.0,101.0,51.0,394.0,,37.0,,8.0,375.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keith Boyce ,West Indies,,,,7.0,,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geoff Boycott ,England,,8.0,74.0,35.0,,,,0.0,9.0,493.0,350.0,113.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brendon Bracewell ,New Zealand,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John Bracewell ,New Zealand,,,,,,,,,,,,,,41.0,32.0,47.0,126.0,62.0,161.0,,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grant Bradburn ,New Zealand,,,,,,,,,,,,,,,,,,,,,38.0,,19.0,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,
David Brain ,Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,24.0,61.0,18.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,
Eddo Brandes ,Zimbabwe,,,,,,,,,,,,,,,,,,21.0,,,,,73.0,83.0,5.0,5.0,33.0,30.0,80.0,74.0,,,,,,,,,,,,,,,,,,,,
Mike Brearley ,England,,,,,,,,147.0,59.0,270.0,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gavin Briant ,Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Raymond Bright ,Australia,,,,,0.0,,,17.0,,20.0,5.0,18.0,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Broad ,England,,,,,,,,,,,,,,,,,,1047.0,314.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vaughan Brown ,New Zealand,,,,,,,,,,,,,,,,,,,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mark Burgess ,New Zealand,,,,48.0,6.0,,38.0,,1.0,45.0,108.0,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mark Burmester ,Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,28.0,,,81.0,,,,,,,,,,,,,,,,,,,,,,,,
Alan Butcher ,England,,,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roland Butcher ,England,,,,,,,,,,,52.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andy Caddick ,England,,,,,,,,,,,,,,,,,,,,,,,,3.0,20.0,,,12.0,,,42.0,68.0,40.0,64.0,,,,,,,,,,,,,,,,
Lance Cairns ,New Zealand,,,,,30.0,10.0,55.0,,83.0,17.0,113.0,70.0,35.0,335.0,92.0,147.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Cairns ,New Zealand,,,,,,,,,,,,,,,,,,,,,,11.0,72.0,66.0,211.0,437.0,507.0,414.0,391.0,579.0,523.0,5.0,398.0,585.0,429.0,282.0,40.0,,,,,,,,,,,,,
Ian Callen ,Australia,,,,,,,,,6.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alistair Campbell ,Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,13.0,223.0,184.0,142.0,278.0,649.0,805.0,703.0,960.0,837.0,384.0,7.0,,,,,,,,,,,,,,,,
Gegory Campbell ,Australia,,,,,,,,,,,,,,,,,,,,0.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Capel ,England,,,,,,,,,,,,,,,,,,110.0,111.0,70.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philip Carlson ,Australia,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhagwat Chandrasekhar ,India,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greg Chappell ,Australia,,22.0,101.0,,117.0,232.0,,174.0,,273.0,346.0,454.0,338.0,274.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ian Chappell ,Australia,,60.0,87.0,,169.0,226.0,,,,123.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trevor Chappell ,Australia,,,,,,,,,,,32.0,58.0,,139.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ewen Chatfield ,New Zealand,,,,,,,,,,3.0,10.0,2.0,2.0,49.0,6.0,11.0,18.0,11.0,6.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chetandra Chauhan ,India,,,,,,,,,25.0,,89.0,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rajesh Chauhan ,India,,,,,,,,,,,,,,,,,,,,,,,,7.0,66.0,,,59.0,,,,,,,,,,,,,,,,,,,,,,
Wayne Clark ,Australia,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sylvester Clarke ,West Indies,,,,,,,,,0.0,,20.0,,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brian Close ,England,,,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Colley ,Australia,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Richard Collinge ,New Zealand,,,,13.0,0.0,8.0,5.0,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeremy Coney ,New Zealand,,,,,,,,,,47.0,173.0,119.0,102.0,509.0,192.0,242.0,410.0,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bevan Congdon ,New Zealand,,,,5.0,131.0,101.0,47.0,,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alan Connolly ,Australia,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geoffrey Cook ,England,,,,,,,,,,,,14.0,90.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicholas Cook ,England,,,,,,,,,,,,,,,0.0,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stephen Cook ,South Africa,,,,,,,,,,,,,,,,,,,,,,52.0,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Geoffrey Cope ,England,,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garry Cosier ,Australia,,,,,,25.0,,3.0,84.0,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norman Cowans ,England,,,,,,,,,,,,,,5.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christopher Cowdrey ,England,,,,,,,,,,,,,,,,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sir Colin Cowdrey ,England,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gary Crocker ,Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,59.0,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Colin Croft ,West Indies,,,,,,,,0.0,5.0,3.0,8.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hansie Cronje ,South Africa,,,,,,,,,,,,,,,,,,,,,,,330.0,395.0,1133.0,157.0,933.0,771.0,691.0,587.0,568.0,,,,,,,,,,,,,,,,,,,
Jeffrey Crowe ,New Zealand,,,,,,,,,,,,,,345.0,161.0,179.0,387.0,189.0,137.0,66.0,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martin Crowe ,New Zealand,,,,,,,,,,,,,10.0,318.0,416.0,238.0,622.0,324.0,331.0,196.0,810.0,163.0,789.0,195.0,98.0,194.0,,,,,,,,,,,,,,,,,,,,,,,,
Daryll Cullinan ,South Africa,,,,,,,,,,,,,,,,,,,,,,,,238.0,475.0,147.0,1034.0,810.0,408.0,517.0,231.0,,,,,,,,,,,,,,,,,,,
Anderson Cummins ,West Indies,,,,,,,,,,,,,,,,,,,,,,38.0,32.0,115.0,200.0,74.0,,,,,,,,,,,,27.0,,,,,,,,,,,,
Basil D'Oliveira ,England,,17.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anil Dalpat ,Pakistan,,,,,,,,,,,,,,,6.0,78.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wayne Daniel ,West Indies,,,,,,,,,14.0,,,,,16.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rick Darling ,Australia,,,,,,,,,29.0,99.0,,162.0,73.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ian Davis ,Australia,,,,,11.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Simon Davis ,Australia,,,,,,,,,,,,,,,,,8.0,12.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Winston Davis ,West Indies,,,,,,,,,,,,,,7.0,0.0,11.0,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
