Name_of_player,Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Humayun Farhat ,Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,,,,,,,,,,,,,,,,,,
Dinesh Mongia ,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.0,740.0,237.0,12.0,33.0,123.0,34.0,,,,,,,,,,,,
Mohammed Sharif ,Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.0,11.0,,,,,6.0,,,,,,,,,,,,
Dion Ebrahim ,Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,547.0,159.0,219.0,490.0,28.0,,,,,,,,,,,,,,
Akalanka Ganegarma ,Sri Lanka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,7.0,,,,,,,,,,,,,
Andre Adams ,New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,187.0,128.0,9.0,67.0,9.0,1.0,,,,,,,,,,,,
Mohammad Ashraful ,Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.0,125.0,155.0,332.0,395.0,454.0,509.0,676.0,448.0,220.0,37.0,,71.0,,,,,,
Kashif Raza ,Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,
Kyle Mills ,New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.0,52.0,45.0,53.0,51.0,33.0,34.0,138.0,156.0,226.0,28.0,26.0,119.0,29.0,30.0,,,,
Leon Garrick ,West Indies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.0,,,,,,,,,,,,,,,,,,
Justin Ontong ,South Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.0,42.0,,,11.0,,,69.0,,,,17.0,,,,,,,
Andre Nel ,South Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,2.0,0.0,7.0,34.0,58.0,23.0,,,,,,,,,,,
Ryan Sidebottom ,England,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,25.0,24.0,82.0,0.0,,,,,,,,,
Paul Collingwood ,England,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189.0,396.0,411.0,363.0,432.0,520.0,1064.0,398.0,705.0,500.0,114.0,,,,,,,,
Owais Shah ,England,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.0,132.0,47.0,,,11.0,408.0,586.0,546.0,,,,,,,,,,
Tatenda Taibu ,Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,107.0,386.0,568.0,327.0,,220.0,360.0,248.0,574.0,485.0,96.0,,,,,,,
Hamilton Masakadza ,Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,,,90.0,172.0,392.0,249.0,324.0,1087.0,323.0,341.0,12.0,423.0,532.0,469.0,280.0,313.0,581.0,
David Obuya ,Kenya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.0,34.0,84.0,,,164.0,434.0,69.0,257.0,91.0,83.0,30.0,,,,,,,
Collins Obuya ,Kenya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.0,64.0,98.0,,,177.0,277.0,,477.0,340.0,304.0,39.0,118.0,66.0,,,,,
Brijal Patel ,Kenya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,185.0,87.0,41.0,,41.0,,,,,,,,,,,,,
Taufeeq Umar ,Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.0,152.0,246.0,18.0,3.0,,,,,,57.0,,,,,,,,
Michael Vandort ,Sri Lanka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.0,,,,,,,,,,,,,
Douglas Hondo ,Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,32.0,24.0,32.0,34.0,,,,,,,,,,,,,,
Claude Henderson ,South Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
James Foster ,England,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,30.0,,,,,,,,,,,,,,,,,
Robert Kirtley ,England,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,,
Jeremy Snape ,England,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,94.0,,,,,,,,,,,,,,,,,
Deep Dasgupta ,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.0,,,,,,,,,,,,,,,,,,
Sean Ervine ,Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.0,74.0,229.0,320.0,,,,,,,,,,,,,,,
Charl Langeveldt ,South Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.0,0.0,2.0,1.0,1.0,34.0,0.0,6.0,26.0,,,,,,,,,
Charitha Fernando ,Sri Lanka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,7.0,18.0,,,,,,,,,,,,,,,,
Prabath Nissanka ,Sri Lanka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,18.0,33.0,,,,,,,,,,,,,,,,
Naved Latif ,Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.0,112.0,7.0,,,,,,,,,,,,,,,,
Mashrafe Mortaza ,Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,52.0,70.0,76.0,295.0,233.0,292.0,8.0,131.0,0.0,43.0,20.0,106.0,96.0,98.0,64.0,124.0,24.0
Shane Bond ,New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.0,36.0,,14.0,26.0,38.0,,39.0,53.0,,,,,,,,,
Fahim Muntasir ,Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,5.0,,,,,,,,,,,,,,,,,
Tushar Imran ,Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,271.0,126.0,,120.0,24.0,27.0,,,,,,,,,,,,
Sanjay Bangar ,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159.0,18.0,3.0,,,,,,,,,,,,,,,
Tinu Yohannan ,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,
Jermaine Lawson ,West Indies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0,0.0,4.0,11.0,,,,,,,,,,,,,,
Ryan Hinds ,West Indies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.0,62.0,,8.0,,,,,,,,,,,,,,,
Darryl Brown ,West Indies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,9.0,,,,,,,,,,,,,,,,,
Brad Williams ,Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,14.0,0.0,,,,,,,,,,,,,,,
Ryan Campbell ,Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.0,,,,,,,,,,,,,,,,,
Brendon McCullum ,New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.0,270.0,244.0,409.0,194.0,799.0,618.0,750.0,324.0,470.0,416.0,420.0,183.0,764.0,119.0,,,
Ajay Ratra ,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.0,,,,,,,,,,,,,,,,,
Tareq Aziz ,Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,4.0,15.0,,,,,,,,,,,,,,,
Ian Butler ,New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,0.0,,,,,65.0,13.0,,,,,,,,,
Runako Morton ,West Indies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,,,180.0,685.0,352.0,94.0,182.0,7.0,,,,,,,,,
Ashwell Prince ,South Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,92.0,604.0,160.0,148.0,,,,,,,,,,,,
Graeme Smith ,South Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,743.0,600.0,652.0,984.0,561.0,1079.0,492.0,502.0,328.0,419.0,338.0,291.0,,,,,,
Nathan Hauritz ,Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,22.0,,,,,,161.0,138.0,2.0,,,,,,,,
Shane Watson ,Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,236.0,52.0,28.0,138.0,280.0,267.0,262.0,1013.0,771.0,1139.0,377.0,693.0,165.0,336.0,,,,
John Kent ,South Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
Robert Hart ,New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
Paul Hitchcock ,New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,19.0,,,,,11.0,,,,,,,,,,,
Daren Powell ,West Indies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,14.0,0.0,60.0,39.0,5.0,,,,,,,,,,
Talha Jubair ,Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,4.0,,,,,,,,,,,,,,,,
Ehsanul Haque ,Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,28.0,,,,,,,,,,,,,,,,
Hannan Sarkar ,Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.0,242.0,113.0,,,,,,,,,,,,,,,
Simon Jones ,England,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,,,,,,,
Chamila Lakshitha ,Sri Lanka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,4.0,,,,,,,,,,,,,,,,
Jehan Mubarak ,Sri Lanka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.0,35.0,,,247.0,171.0,145.0,65.0,,,,8.0,,,,,,
Alok Kapali ,Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,228.0,484.0,102.0,4.0,146.0,,206.0,,,65.0,,,,,,,,
Tapash Baisya ,Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.0,84.0,89.0,72.0,0.0,18.0,,,,,,,,,,,,
Hasantha Fernando ,Sri Lanka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,,,,3.0,,,,,,,,,,,,,
Pulasthi Gunaratne ,Sri Lanka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,15.0,,,,,,,,,,,,,,,,
Parthiv Patel ,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.0,66.0,,,,,,109.0,491.0,4.0,,,,,,,
Robert Key ,England,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,43.0,,,,,,,,,,,,,,,
Stephen Harmison ,England,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,7.0,24.0,22.0,12.0,,6.0,18.0,,,,,,,,,,
Jacob-Jan Esmeijer ,Netherlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,3.0,,,,,,,,,,,,,,,,
Victor Grandia ,Netherlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
Adeel Raja ,Netherlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,2.0,,,,10.0,0.0,,9.0,0.0,,,,,,,,
Edgar Schiferli ,Netherlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,75.0,,,,6.0,5.0,52.0,,,,8.0,,,,,,
Reiout Scholte ,Netherlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,16.0,,,,,,,,,,,,,,,,
Daan van Bunge ,Netherlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,135.0,,,172.0,82.0,41.0,130.0,,,,69.0,,,,,,
Lucas van Troost ,Netherlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,96.0,,,104.0,68.0,,,,,,,,,,,,
Ian Blackwell ,England,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185.0,70.0,36.0,53.0,59.0,,,,,,,,,,,,,
Mazharul Haque ,Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,
Jan Kloppenburg ,Netherlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,158.0,,,,,,,,,,,,,,,,
Hendrik Mol ,Netherlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,38.0,,,,2.0,27.0,,,,,,,,,,,
Robin Peterson ,South Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,13.0,62.0,0.0,44.0,12.0,,,6.0,78.0,81.0,233.0,11.0,,,,,
Martin van Jaarsveld ,South Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.0,82.0,0.0,,,,,,,,,,,,,,,
Rafiqul Islam ,Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
Anwar Hossain Monir ,Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
Jai Yadav ,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,81.0,,,,,,,,,,,,,,
Blessing Mahwire ,Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,17.0,89.0,,,,,,,,,,,,,
Kamran Akmal ,Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141.0,26.0,0.0,569.0,340.0,293.0,342.0,509.0,357.0,347.0,6.0,238.0,,,,68.0,,
Lakshmipathy Balaji ,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,95.0,18.0,,,,7.0,,,,,,,,,,
Barney Rogers ,Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,34.0,131.0,300.0,,,,,,,,,,,,,,
Stuart Matsikenyeri ,Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,101.0,394.0,162.0,388.0,289.0,141.0,701.0,19.0,,9.0,,,19.0,,,,
Richard Sims ,Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,24.0,,,,,,,,,,,,,,,,
Waddington Mwayenga ,Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,
Anwar Hossain ,Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.0,,,,,,,,,,,,,,,,,
Monde Zondeki ,South Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0,,0.0,0.0,,0.0,,,,,,,,,,,
Gareth Batty ,England,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0,1.0,,2.0,,,24.0,,,,,,,,,,
James Anderson ,England,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,21.0,13.0,11.0,33.0,21.0,20.0,21.0,12.0,40.0,5.0,33.0,22.0,14.0,,,,
Michael Clarke ,Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,327.0,615.0,954.0,729.0,981.0,471.0,868.0,777.0,900.0,656.0,303.0,181.0,219.0,,,,
Riaan Walters ,Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
Stephan Swanepoel ,Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.0,,,,,,,,,,,,,,,,
Andries Burger ,Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199.0,,,,,,,,,,,,,,,,
Daniel Keulder ,Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.0,,,,,,,,,,,,,,,,
Bryan Murgatroyd ,Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.0,,,,,,,,,,,,,,,,
Morne Karg ,Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.0,,,,,,,,,,,,,,,,
Deon Kotze ,Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.0,,,,,,,,,,,,,,,,
Louis Burger ,Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,
Gerrie Synman ,Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,
Jan Louw ,Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
Bjorn Kotze ,Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.0,,,,,,,,,,,,,,,,
Ashish Bagai ,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.0,,,221.0,496.0,181.0,243.0,539.0,225.0,,3.0,,,,,,
Ian Billcliff ,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.0,,,63.0,245.0,26.0,51.0,,,,,,,,,,
Desmond Chumney ,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.0,,,196.0,133.0,,,,,,,,,,,,
Austin Codrington ,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.0,,,14.0,5.0,,,,,,,,,,,,
John Davison ,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226.0,,,97.0,370.0,,73.0,,33.0,,,,,,,,
Nicholas De Groot ,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.0,,,,,,,,,,,,,,,,
Joseph Harris ,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.0,,,,,,,,,,,,,,,,
Davis Joseph ,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,,,,,,,,,,,,,,,,
Ishwar Maraj ,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.0,,,,,,,,,,,,,,,,
Fazil Sattaur ,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,
Sanjayan Thuraisingam ,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,,,13.0,,7.0,,,,,,,,,,,
Jeroen Smits ,Netherlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.0,,,16.0,42.0,20.0,33.0,,,,,,,,,,
Nick Statham ,Netherlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,0.0,,,,,,,,,,
Rudolph van Vuuren ,Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0,,,,,,,,,,,,,,,,
Melt van Schoor ,Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.0,,,,,,,,,,,,,,,,
Sarel Burger ,Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,
Barry Seebaran ,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,
Nicholas Ifill ,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,,,0.0,,,,,,,,,,,,,
Burton van Rooi ,Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0,,,,,,,,,,,,,,,,
Ashish Patel ,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,
Abdool Samad ,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,165.0,315.0,214.0,32.0,,,,,,,,,,
Umar Gul ,Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,32.0,23.0,29.0,108.0,50.0,47.0,93.0,38.0,29.0,0.0,6.0,,,
Mohammad Hafeez ,Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,419.0,,124.0,255.0,76.0,,,370.0,1075.0,476.0,1301.0,360.0,782.0,166.0,555.0,194.0,208.0
Naved-ul-Hasan ,Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,40.0,157.0,112.0,37.0,,89.0,76.0,,,,,,,,,
Alfred Luseno ,Kenya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,17.0,0.0,,1.0,16.0,,,,,,,,,
Kaushal Lokuarachchi ,Sri Lanka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.0,40.0,,108.0,11.0,,,,,,,,,,,,
Devon Smith ,West Indies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.0,93.0,,,273.0,110.0,169.0,,333.0,,45.0,,,,,,
Aavishkar Salvi ,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,
Gautam Gambhir ,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.0,,181.0,115.0,634.0,1119.0,848.0,670.0,720.0,685.0,153.0,,,,,,
Amit Mishra ,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,0.0,5.0,,9.0,10.0,4.0,15.0,,,
Jacques Rudolph ,South Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500.0,411.0,124.0,139.0,,,,,,,,,,,,,
Abhijit Kale ,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,
Mohammad Salim ,Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,
David Bernard ,West Indies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,116.0,18.0,,,,,,,,,
Carlton Baugh ,West Indies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.0,3.0,,118.0,,37.0,,,195.0,64.0,,,,,,,
Tino Best ,West Indies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,40.0,0.0,,,8.0,,,15.0,9.0,0.0,,,,,
Omari Banks ,West Indies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.0,,39.0,,,,,,,,,,,,,,
Dharshana Gamage ,Sri Lanka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,
Yasir Hameed ,Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,898.0,773.0,134.0,112.0,111.0,,,,,,,,,,,,
Anthony McGrath ,England,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.0,23.0,,,,,,,,,,,,,,,
Faisal Athar ,Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,
Ryan Hurley ,West Indies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,13.0,,,,,,,,,,,,,,,
Richard Johnson ,England,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,,,,,,,,,,,,,,,,
Jerome Taylor ,West Indies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,25.0,44.0,84.0,45.0,6.0,,,,11.0,40.0,21.0,2.0,,
Rikki Clarke ,England,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.0,33.0,,45.0,,,,,,,,,,,,,
Jamie Troughton ,England,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.0,,,,,,,,,,,,,,,,
Fidel Edwards ,West Indies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,4.0,0.0,14.0,2.0,30.0,23.0,,,,,,,,,,
Thilan Thushara ,Sri Lanka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250.0,107.0,35.0,,,,,,,,,
Kabir Ali ,England,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,91.0,2.0,,,,,,,,,,,,,
Charles Coventry ,Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,134.0,60.0,,,430.0,174.0,18.0,,,,10.0,,,,
Morne van Wyk ,South Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,,,,178.0,,,,136.0,,,,94.0,,,,
Rajin Saleh ,Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,269.0,316.0,125.0,295.0,,,,,,,,,,,,,
Salman Butt ,Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,252.0,565.0,145.0,362.0,861.0,358.0,182.0,,,,,,,,,
Junaid Zia ,Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,
Gavin Ewing ,Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,97.0,,,,,,,,,,,,,,
Enamul Haque ,Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,8.0,,,,,,,,,,
Vusi Sibanda ,Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.0,186.0,30.0,500.0,545.0,159.0,173.0,119.0,478.0,,432.0,106.0,86.0,96.0,,,
Jamaluddin Ahmed ,Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,,,,,,,,,,,,,,,,
Manjural Islam Rana ,Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.0,201.0,61.0,23.0,,,,,,,,,,,,,
Nafis Iqbal ,Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,110.0,186.0,,,,,,,,,,,,,,
Moniruzzaman ,Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
Dinusha ,Sri Lanka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
Nuwan Kulasekara ,Sri Lanka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,5.0,,14.0,15.0,156.0,203.0,82.0,170.0,235.0,184.0,63.0,131.0,31.0,38.0,,
Andrew Strauss ,England,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,655.0,713.0,592.0,276.0,,647.0,806.0,513.0,,,,,,,,
Ravi Rampaul ,West Indies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,34.0,,,50.0,3.0,23.0,54.0,130.0,44.0,3.0,17.0,3.0,,,,
Michael Mason ,New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,0.0,,4.0,5.0,0.0,,2.0,,,,,,,,,
Matthew Walker ,New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,
